size;CPU;size;GPU_Atomics;size;GPU_Reduction
1;0,0001;1;4,39299;1;0,048128
1;0,0002;1;0,009216;1;0,004096
2;0,0001;2;0,008192;2;0,009184
3;0,0003;3;0,009216;3;0,009216
4;0,0002;4;0,007168;4;0,008192
5;0,0002;5;0,008192;5;0,008192
6;0,0003;6;0,008192;6;0,01024
7;0,0003;7;0,032768;7;0,009216
8;0,0004;8;0,041984;8;0,008192
9;0,0003;9;0,043008;9;0,01024
10;0,0004;10;0,0256;10;0,019456
11;0,0003;11;0,013312;11;0,011264
12;0,0009;12;0,008192;12;0,024576
13;0,0002;13;0,008192;13;0,009216
14;0,0002;14;0,01024;14;0,009216
15;0,0003;15;0,007168;15;0,009216
16;0,0005;16;0,007168;16;0,009216
17;0,0004;17;0,044032;17;0,01024
18;0,0003;18;0,034816;18;0,03584
19;0,0002;19;0,01024;19;0,045056
20;0,0006;20;0,009216;20;0,009216
21;0,0001;21;0,029696;21;0,011264
22;0,0006;22;0,009216;22;0,023552
23;0,0003;23;0,007168;23;0,009216
24;0,0002;24;0,032768;24;0,013312
25;0,0006;25;0,009216;25;0,009216
26;0,0002;26;0,007168;26;0,01024
27;0,0003;27;0,04096;27;0,045056
28;0,0004;28;0,007168;28;0,031744
29;0,0003;29;0,007168;29;0,103424
30;0,0003;30;0,01024;30;0,01024
31;0,0002;31;0,007168;31;0,03072
32;0,0004;32;0,008192;32;0,01024
33;0,0005;33;0,01024;33;0,01024
34;0,0002;34;0,007168;34;0,01024
35;0,0002;35;0,008192;35;0,009216
36;0,0003;36;0,009216;36;0,012288
37;0,0002;37;0,008192;37;0,009216
38;0,0002;38;0,007168;38;0,009216
39;0,0003;39;0,007168;39;0,009216
40;0,0003;40;0,00816;40;0,01024
41;0,0005;41;0,009216;41;0,01024
42;0,0005;42;0,007168;42;0,009216
43;0,0003;43;0,008192;43;0,009216
44;0,0003;44;0,007168;44;0,009216
45;0,0002;45;0,008192;45;0,011264
46;0,0004;46;0,008192;46;0,01024
47;0,0003;47;0,007168;47;0,034816
48;0,0002;48;0,024576;48;0,009216
49;0,0003;49;0,01024;49;0,01024
